Divine Sense,Paladin,Base,1,Divine Sense
Lay on Hands,Paladin,Base,1,Lay on Hands
Divine Smite,Paladin,Base,2,Divine Smite
Divine Health,Paladin,Base,3,Divine Heatlh
Channel Divinity,Paladin,Oath of the Ancients,3,Nature's Wrath|Turn the Faithless
Channel Divinity,Paladin,Oath of the Devotion,3,Subclass Feature1
Channel Divinity,Paladin,Oath of the Vengeance,3,Subclass Feature1
Harness Divine Power,Paladin,Base,3,Harness Divine Power
Extra Attack,Paladin,Base,5,Extra Attack
Aura of Protection,Paladin,Base,6,Aura of Protection
Aura of Warding,Paladin,Oath of the Ancients,7,Aura of Warding
Subclass Feature2,Paladin,Oath of the Devotion,7,Subclass Feature2
Subclass Feature2,Paladin,Oath of the Vengeance,7,Subclass Feature2
Aura of Courage,Paladin,Base,10,Aura of Courage
Improved Divine Smite,Paladin,Base,11,Improved Divine Smite
Cleansing Touch,Paladin,Base,14,Cleansing Touch
Undying Sentinel,Paladin,Oath of the Ancients,15,Undying Sentinel
Subclass Feature3,Paladin,Oath of the Devotion,15,Subclass Feature3
Subclass Feature3,Paladin,Oath of the Vengeance,15,Subclass Feature3
Aura improvements,Paladin,Base,18,Aura improvements
Elder Champion,Paladin,Oath of the Ancients,20,Elder Champion
Subclass Feature4,Paladin,Oath of the Devotion,20,Subclass Feature4
Subclass Feature4,Paladin,Oath of the Vengeance,20,Subclass Feature4
