Divine Sense,Paladin,Base,1,Divine Sense
Lay on Hands,Paladin,Base,1,Lay on Hands
Divine Smite,Paladin,Base,2,Divine Smite
Divine Health,Paladin,Base,3,Divine Heatlh
Channel Divinity,Paladin,Oath of the Ancients,3,Channel Divinity: Nature's Wrath|Channel Divinity: Turn the Faithless
Channel Divinity,Paladin,Oath of the Devotion,3,Channel Divinity: Sacred Weapon|Channel Divinity: Turn the Unholy
Channel Divinity,Paladin,Oath of the Vengeance,3,Channel Divinity: Abjure Enemy|Channel Divinity: Vow of Enmity
Harness Divine Power,Paladin,Base,3,Harness Divine Power
Extra Attack,Paladin,Base,5,Extra Attack
Aura of Protection,Paladin,Base,6,Aura of Protection
Aura of Warding,Paladin,Oath of the Ancients,7,Aura of Warding
Aura of Devotion,Paladin,Oath of the Devotion,7,Aura of Devotion
Relentless Avenger,Paladin,Oath of the Vengeance,7,Relentless Avenger
Aura of Courage,Paladin,Base,10,Aura of Courage
Improved Divine Smite,Paladin,Base,11,Improved Divine Smite
Cleansing Touch,Paladin,Base,14,Cleansing Touch
Undying Sentinel,Paladin,Oath of the Ancients,15,Undying Sentinel
Purity of Spirit,Paladin,Oath of the Devotion,15,Purity of Spirit
Soul of Vengeance,Paladin,Oath of the Vengeance,15,Soul of Vengeance
Elder Champion,Paladin,Oath of the Ancients,20,Elder Champion
Holy Nimbus,Paladin,Oath of the Devotion,20,Holy Nimbus
Avenging Angel,Paladin,Oath of the Vengeance,20,Avenging Angel
