Expertise,NoChoice,Rogue,Base,1,Expertise
Sneak Attack,NoChoice,Rogue,Base,1,Sneak Attack
Thieves' Cant,NoChoice,Rogue,Base,1,Thieves' Cant
Cunning Action,NoChoice,Rogue,Base,2,Cunning Action
Steady Aim,NoChoice,Rogue,Base,3,Steady Aim
Fast Hands,NoChoice,Rogue,Thief,3,Fast Hands
Second-Story Work,NoChoice,Rogue,Thief,3,Second-Story Work
Assassinate,NoChoice,Rogue,Assassin,3,Assassinate
Mage Hand Legerdemain,NoChoice,Rogue,Arcane Trickster,3,Mage Hand Legerdemain
Uncanny Dodge,NoChoice,Rogue,Base,5,Uncanny Dodge
Evasion,NoChoice,Rogue,Base,7,Evasion
Supreme Sneak,NoChoice,Rogue,Thief,9,Supreme Sneak
Infiltration Expertise,NoChoice,Rogue,Assassin,9,Infiltration Expertise
Magical Ambush,NoChoice,Rogue,Fast Hands,9,Magical Ambush
Reliable Talent,NoChoice,Rogue,Base,11,Reliable Talent
Use Magic Device,NoChoice,Rogue,Thief,13,Use Magic Device
Impostor,NoChoice,Rogue,Assassin,13,Impostor
Versatile Trickster,NoChoice,Rogue,Arcane Trickster,13,Versatile Trickster
Blindsense,NoChoice,Rogue,Base,14,Blindsense
Slippery Mind,NoChoice,Rogue,Base,15,Slippery Mind
Thief's Reflexes,NoChoice,Rogue,Thief,17,Thief's Reflexes
Death Strike,NoChoice,Rogue,Assassin,17,Death Strike
Spell Thief,NoChoice,Rogue,Arcane Trickster,17,Spell Thief
Elusive,NoChoice,Rogue,Base,18,Elusive
Stroke of Luck,NoChoice,Rogue,Base,18,Stroke of Luck
