Fey Presence,NoChoice,Warlock,The Archfey,1,Fey Presence
Dark One's Blessing,NoChoice,Warlock,The Fiend,1,Dark One's Blessing
Awakened Mind,NoChoice,Warlock,The Great Old One,1,Awakened Mind
Eldritch Invocations,NoChoice,Warlock,Base,1,Eldritch Invocations
Pact Boon,NoChoice,Warlock,Base,3,Pact Boon
Misty Escape,NoChoice,Warlock,The Archfey,6,Misty Escape
Dark One's Own Luck,NoChoice,Warlock,The Fiend,6,Dark One's Own Luck
Entropic Ward,NoChoice,Warlock,The Great Old One,6,Entropic Ward
Mystic Arcanum,NoChoice,Warlock,Base,10,Mystic Arcanum
Beguiling Defenses,NoChoice,Warlock,The Archfey,10,Beguiling Defenses: Reverse Charm|Beguiling Defenses: Charm Immunity
Fiendish Resilience,NoChoice,Warlock,The Fiend,10,Fiendish Resilience
Thought Shield,NoChoice,Warlock,The Great Old One,10,Thought Shield
Dark Delirium,NoChoice,Warlock,The Archfey,14,Dark Delirium
Hurl Through Hell,NoChoice,Warlock,The Fiend,14,Hurl Through Hell
Create Thrall,NoChoice,Warlock,The Great Old One,14,Create Thrall
Eldritch Master,NoChoice,Warlock,The Archfey,20,Eldritch Master
