Physical Training,ModifyCharacter,"Increase your Strength or Dexterity score by 1, to a maximum of 20."
Mental Training,ModifyCharacter,"Increase your Intelligence or Wisdom score by 1, to a maximum of 20."
Strength Training,ModifyCharacter,"Increase your Strength score by 1, to a maximum of 20."
Dexterity Training,ModifyCharacter,"Increase your Dexterity score by 1, to a maximum of 20."
Constitution Training,ModifyCharacter,"Increase your Dexterity score by 1, to a maximum of 20."
Intelligence Training,ModifyCharacter,"Increase your Dexterity score by 1, to a maximum of 20."
Wisdom Training,ModifyCharacter,"Increase your Dexterity score by 1, to a maximum of 20."
Charisma Training,ModifyCharacter,"Increase your Dexterity score by 1, to a maximum of 20."
Full Body Training,ModifyCharacter,"Increase your any score by 1, to a maximum of 20."
Ability Score Improvement,ModifyCharacter,"Increase any score by 2 or two scores by 1, to a maximum of 20."
Heavy Armor Proficiency,ModifyCharacter,"You gain proficiency with heavy armor."
Medium Armor Proficiency,ModifyCharacter,"You gain proficiency with medium armor."
Light Armor Proficiency,ModifyCharacter,"You gain proficiency with light armor."
Shield Proficiency,ModifyCharacter,"You gain proficiency with shields."
Unarmed Proficiency,ModifyCharacter,"You gain proficiency with unarmed strikes."
Improvised Weapon Proficiency,ModifyCharacter,"You gain proficiency with improvised weapons."
Alert: Bonus Initiative,ModifyCharacter,"You gain a +5 bonus to initiative."
Alert: Surprise Immunity,Passive,"You can't be surprised while you are conscious."
Alert: Prevent Hidden Advantage,Passive,"Other creatures don't gain advantage on attack rolls against you as a result of being hidden from you."
Athlete: Kinesthetic Awareness,Passive,"When you are prone, standing up uses only 5 feet of your movement. Climbing doesn't halve your speed. You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet."
Actor: Mimicry,Passive,"You have advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person. You can mimic the speech of another person or the sounds made by other creatures. You must have heard the person speaking, or heard the creature make the sound, for at least 1 minute. A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a listener to determine that the effect is faked."
Charger: Bull Rush,BonusAction,"When you use your action to Dash, you can use a bonus action to make one melee weapon attack or to shove a creature. If you move at least 10 feet in a straight line immediately before taking this bonus action, you either gain a +5 bonus to the attack's damage roll (if you chose to make a melee attack and hit) or push the target up to 10 feet away from you (if you chose to shove and you succeed)."
Crossbow Expert: Crossbow Mastery,Passive,"You ignore the loading quality of crossbow s with which you are proficient. Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls."
Crossbow Expert: Quick Load,BonusAction,"When you use the Attack action and attack with a one handed weapon, you can use a bonus action to attack with a loaded hand crossbow you are holding."
Defensive Duelist,Reaction,"When you are wielding a finesse weapon with which you are proficient and another creature hits you with a melee attack, you can use your reaction to add your proficiency bonus to your AC for that attack, potentially causing the attack to miss you."
Dual Wielder,Passive,"You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand. You can use two-weapon fighting even when the one handed melee weapons you are wielding aren't light. You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one."
Dungeon Delver,Passive,"Alert to the hidden traps and secret doors found in many dungeons, you gain the following benefits: When you roll a Hit Die to regain hit points, the minimum number of hit points you regain from the roll equals twice your Constitution modifier (minimum of 2). You have advantage on Wisdom (Perception) and Intelligence (Investigation) checks made to detect the presence of secret doors. You have advantage on saving throws made to avoid or resist traps. You have resistance to the damage dealt by traps. You can search for traps while traveling at a normal pace, instead of only at a slow pace."
Elemental Adept,Passive,"When you gain this feat, choose one o f the following damage types: acid, cold, fire, lightning, or thunder. Spells you cast ignore resistance to damage o f the chosen type. In addition, when you roll damage for a spell you cast that deals damage of that type, you can treat any 1 on a damage die as a 2. You can select this feat multiple times. Each time you do so, you must choose a different damage type."
Grappler: Grapple Mastery,Passive,"You have advantage on attack rolls against a creature you are grappling. Creatures that are one size larger than you don't automatically succeed on checks to escape your grapple."
Grappler: Pin Target,Action,"You can use your action to try to pin a creature grappled by you. To do so, make another grapple check. If you succeed, you and the creature are both restrained until the grapple ends."
Great Weapon Master: Bonus Attack,BonusAction,"On your turn, when you score a critical hit with a melee weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action."
Great Weapon Master: Fierce Attack,Action,"Before you make a melee attack with a heavy weapon that you are proficient with, you can choose to take a - 5 penalty to the attack roll. If the attack hits, you add +10 to the attack's damage."
Healer: Stabilizer,Passive,"When you use a healer's kit to stabilize a dying creature, that creature also regains 1 hit point."
Healer: Greater Healer's Kit,Action,"As an action, you can spend one use of a healer's kit to tend to a creature and restore 1d6 + 4 hit points to it, plus additional hit points equal to the creature's maximum number of Hit Dice. The creature can't regain hit points from this feat again until it finishes a short or long rest."
Heavily Armor Master: Physical Resistance,Passive,"While you are wearing heavy armor, bludgeoning, piercing, and slashing damage that you take from non magical weapons is reduced by 3."
Inspiring Leader,NonCombatAction,"You can spend 10 minutes inspiring your companions, shoring up their resolve to fight. W hen you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you. Each creature can gain temporary hit points equal to your level + your Charisma modifier. A creature can't gain temporary hit points from this feat again until it has finished a short or long rest."
Keen Mind: Eidetic Memory,Passive,"You always know which way is north. You always know the number of hours left before the next sunrise or sunset. You can accurately recall anything you have seen or heard within the past month."
Linguist: Polyglot,ModifyCharacter,"You learn three languages of your choice."
Linguist: Cipher Expert,Passive,"You can ably create written ciphers. Others can't decipher a code you create unless you teach them, they succeed on an Intelligence check (DC equal to your Intelligence score + your proficiency bonus), or they use magic to decipher it."
Lucky,Passive,"You have inexplicable luck that seems to kick in at just the right moment. You have 3 luck points. Whenever you make an attack roll, an ability check, or a saving throw, you can spend one luck point to roll an additional d20. You can choose to spend one of your luck points after you roll the die, but before the outcome is determined. You choose which of the d20s is used for the attack roll, ability check, or saving throw. You can also spend one luck point when an attack roll is made against you. Roll a d20, and then choose whether the attack uses the attacker's roll or yours. If more than one creature spends a luck point to influence the outcome of a roll, the points cancel each other out; no additional dice are rolled. You regain your expended luck points when you finish a long rest."
Mage Slayer: Punish Spellcasting,Reaction,"When a creature within 5 feet of you casts a spell, you can use your reaction to make a melee weapon attack against that creature."
Mage Slayer: Disruptor,Passive,"When you damage a creature that is concentrating on a spell, that creature has disadvantage on the saving throw it makes to maintain its concentration. You have advantage on saving throws against spells cast by creatures within 5 feet of you."
Magic Initiate,ModifyCharacter,"Choose a class: bard, cleric, druid, sorcerer, warlock, or wizard. You learn two cantrips of your choice from that class's spell list. In addition, choose one 1st-level spell from that same list. You learn that spell and can cast it at its lowest level. Once you cast it, you must finish a long rest before you can cast it again. Your spellcasting ability for these spells depends on the class you chose: Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid: or Intelligence for wizard."
Martial Adept,ModifyCharacter,"You learn two maneuvers of your choice from among those available to the Battle Master archetype in the fighter class. If a maneuver you use requires your target to make a saving throw to resist the maneuver's effects, the saving throw DC equals 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice). If you already have superiority dice, you gain one m ore; otherwise, you have one superiority die, which is a d6. This die is used to fuel your maneuvers. A superiority die is expended when you use it. You regain your expended superiority dice when you finish a short or long rest."
Medium Armor Master,Passive,"Wearing medium arm or doesn't impose disadvantage on your Dexterity (Stealth) checks. When you w ear medium armor, you can add 3, rather than 2, to your AC if you have a Dexterity of 16 or higher."
Mobile: Increased Speed,ModifyCharacter,"Your speed increases by 10 feet."
